Internship_ID,Company_Name,Sector,Smart_City_Assigned,Fallback_City,Domain,Required_Skills,Required_Language,Location,Capacity,Reserved_Seats,Rural_Urban_Distribution,Duration,Stipend,Mode,Type,Minimum_Qualification,Min_CGPA,Eligibility_Stream,Application_Deadline
I0838,Zomato,Smart Mobility,Ahmedabad,Surat,Mobility,"Public Policy, Web Dev",English,Ahmedabad,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",6 months,5000,Hybrid,Government,PhD,7.6,"Commerce, Management",2025-11-19
I0839,Amazon India,IT,Lucknow,Kanpur,Energy,Cybersecurity,Hindi,Lucknow,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",4 months,15000,Hybrid,Research,PG,7.3,"Engineering, Science",2025-11-24
I0840,NTPC,Energy,Patna,Gaya,Energy,"Data Science, Java, Marketing, AI",Hindi,Patna,26,"{'GEN': 13, 'OBC': 7, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 18, 'Rural': 8}",2 months,15000,Offline,NGO,UG,8.2,"Arts, Management",2025-11-22
I0841,Tech Mahindra,IT,Mumbai,Pune,Mobility,"Web Dev, IoT",Regional,Mumbai,24,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 8}",3 months,5000,Offline,NGO,PhD,6.4,"Management, Commerce",2025-10-17
I0842,Apollo Hospitals,Healthcare,Noida,Delhi,Healthcare,IoT,English,Noida,43,"{'GEN': 21, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 13}",2 months,8000,Online,Research,PhD,7.2,"Arts, Management",2025-09-19
I0843,Swiggy,Smart Mobility,Kolkata,Durgapur,Mobility,"Blockchain, AI, Web Dev",Hindi,Kolkata,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",3 months,8000,Hybrid,Research,UG,8.5,"Engineering, Science",2025-10-26
I0844,HAL,Manufacturing,Noida,Delhi,Waste Management,App Dev,English,Noida,28,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 19, 'Rural': 9}",3 months,8000,Hybrid,Government,PhD,7.0,"Management, Commerce",2025-11-03
I0845,Tata Motors,Manufacturing,Lucknow,Kanpur,Energy,"Finance, Public Policy, Web Dev",English,Lucknow,46,"{'GEN': 23, 'OBC': 12, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 32, 'Rural': 14}",2 months,10000,Offline,Research,PG,7.0,"Science, Engineering",2025-09-25
I0846,Maruti Suzuki,Manufacturing,Gurugram,Bangalore,Energy,Python,Hindi,Gurugram,39,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 27, 'Rural': 12}",3 months,10000,Offline,Corporate,PhD,7.6,"Science, Engineering",2025-10-28
I0847,Tata Consultancy Services,IT,Patna,Gaya,Energy,"Java, App Dev, SQL",English,Patna,57,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 39, 'Rural': 18}",4 months,0,Offline,Research,PG,6.9,"Science, Engineering",2025-11-09
I0848,ICICI Bank,Finance,Kolkata,Durgapur,Waste Management,"SQL, App Dev, ML, Cloud",Regional,Kolkata,41,"{'GEN': 20, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 1}","{'Urban': 28, 'Rural': 13}",6 months,0,Hybrid,Research,UG,7.4,"Arts, Management",2025-10-06
I0849,Paytm,Finance,Gurugram,Delhi,Waste Management,"Java, Public Policy, Data Science",Regional,Gurugram,31,"{'GEN': 15, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 21, 'Rural': 10}",2 months,0,Online,NGO,UG,7.8,"Engineering, Science",2025-10-26
I0850,Mahindra & Mahindra,Manufacturing,Gurugram,Pune,Healthcare,"Blockchain, Data Science, Cybersecurity",Hindi,Gurugram,56,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 1}","{'Urban': 39, 'Rural': 17}",3 months,15000,Online,Government,UG,7.1,"Commerce, Management",2025-09-20
I0851,AIIMS,Healthcare,Bhopal,Indore,Healthcare,"Data Science, Marketing",Regional,Bhopal,36,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 25, 'Rural': 11}",6 months,8000,Offline,Government,UG,6.5,"Science, Engineering",2025-09-29
I0852,Fortis Healthcare,Healthcare,Hyderabad,Warangal,Healthcare,"C++, Data Science",English,Hyderabad,53,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 37, 'Rural': 16}",4 months,0,Online,NGO,UG,7.0,"Science, Engineering",2025-11-04
I0853,ISRO,Research,Surat,Vadodara,Healthcare,Python,Hindi,Surat,48,"{'GEN': 24, 'OBC': 12, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 33, 'Rural': 15}",6 months,5000,Hybrid,Government,PhD,6.5,"Management, Commerce",2025-10-07
I0854,HDFC Bank,Finance,Hyderabad,Warangal,Governance,Blockchain,Hindi,Hyderabad,35,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 24, 'Rural': 11}",2 months,15000,Hybrid,Government,PhD,7.0,"Arts, Management",2025-11-13
I0855,IBM India,IT,Chennai,Coimbatore,Water Supply,Cloud,Hindi,Chennai,29,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 20, 'Rural': 9}",2 months,8000,Offline,Research,UG,6.2,"Commerce, Management",2025-11-28
I0856,HDFC Bank,Finance,Jaipur,Delhi,Governance,"Cybersecurity, Finance",English,Jaipur,24,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 8}",6 months,5000,Hybrid,Corporate,PhD,6.7,"Science, Engineering",2025-09-20
I0857,IBM India,IT,Chennai,Coimbatore,Healthcare,"Data Science, ML, Finance",Hindi,Chennai,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",3 months,5000,Online,Corporate,PhD,7.8,"Arts, Management",2025-09-22
I0858,AIIMS,Healthcare,Nagpur,Bangalore,Healthcare,"Data Science, C++, Web Dev",Regional,Nagpur,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",6 months,15000,Online,Corporate,UG,6.1,"Engineering, Science",2025-09-24
I0859,ISRO,Research,Chennai,Coimbatore,Water Supply,"IoT, Cybersecurity, SQL, Marketing",Hindi,Chennai,58,"{'GEN': 29, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 40, 'Rural': 18}",3 months,0,Online,NGO,PhD,7.8,"Commerce, Management",2025-11-07
I0860,ICICI Bank,Finance,Chennai,Coimbatore,Healthcare,"ML, Public Policy, Marketing",English,Chennai,45,"{'GEN': 22, 'OBC': 12, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 31, 'Rural': 14}",4 months,15000,Online,Government,PhD,6.7,"Arts, Management",2025-11-05
I0861,IBM India,IT,Delhi,Gurugram,Waste Management,Marketing,Hindi,Delhi,60,"{'GEN': 30, 'OBC': 16, 'SC': 9, 'ST': 4, 'EWS': 1}","{'Urban': 42, 'Rural': 18}",3 months,0,Offline,Research,UG,8.4,"Management, Commerce",2025-11-05
I0862,Paytm,Finance,Gurugram,Hyderabad,Waste Management,"Finance, App Dev",English,Gurugram,38,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 26, 'Rural': 12}",6 months,8000,Offline,Government,PG,6.6,"Engineering, Science",2025-12-02
I0863,Ola,Smart Mobility,Kolkata,Durgapur,Mobility,"SQL, Python",Regional,Kolkata,32,"{'GEN': 16, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 22, 'Rural': 10}",3 months,10000,Hybrid,Government,UG,7.6,"Commerce, Management",2025-10-24
I0864,HAL,Manufacturing,Chandigarh,Delhi,Energy,"C++, Cloud, Web Dev",English,Chandigarh,27,"{'GEN': 13, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 18, 'Rural': 9}",4 months,15000,Offline,Corporate,PG,7.8,"Arts, Management",2025-11-16
I0865,OYO,E-Governance,Chennai,Coimbatore,E-Governance,Finance,Regional,Chennai,28,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 19, 'Rural': 9}",6 months,0,Hybrid,Research,PG,6.6,"Science, Engineering",2025-09-30
I0866,Apollo Hospitals,Healthcare,Bangalore,Mysuru,Healthcare,"Blockchain, App Dev",English,Bangalore,26,"{'GEN': 13, 'OBC': 7, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 18, 'Rural': 8}",6 months,8000,Offline,Government,UG,6.6,"Commerce, Management",2025-11-19
I0867,BYJU'S,Education,Chennai,Coimbatore,Education,ML,Hindi,Chennai,28,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 19, 'Rural': 9}",3 months,15000,Offline,Research,PG,7.9,"Engineering, Science",2025-10-15
I0868,Microsoft India,IT,Bangalore,Mysuru,Energy,"Java, App Dev, C++",Regional,Bangalore,25,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 3}","{'Urban': 17, 'Rural': 8}",4 months,10000,Online,NGO,PhD,6.5,"Engineering, Science",2025-09-30
I0869,Paytm,Finance,Ahmedabad,Surat,Waste Management,"Python, C++",English,Ahmedabad,41,"{'GEN': 20, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 1}","{'Urban': 28, 'Rural': 13}",4 months,10000,Online,Corporate,PG,6.8,"Management, Commerce",2025-11-10
I0870,HCLTech,IT,Hyderabad,Warangal,Water Supply,"Java, Finance",English,Hyderabad,55,"{'GEN': 27, 'OBC': 14, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 38, 'Rural': 17}",4 months,10000,Online,Government,UG,6.9,"Management, Commerce",2025-09-23
I0871,DRDO,Research,Hyderabad,Warangal,Governance,Blockchain,Hindi,Hyderabad,30,"{'GEN': 15, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 21, 'Rural': 9}",2 months,5000,Online,NGO,UG,7.7,"Engineering, Science",2025-11-23
I0872,ICICI Bank,Finance,Chennai,Coimbatore,Governance,Cloud,Hindi,Chennai,53,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 37, 'Rural': 16}",6 months,5000,Hybrid,Research,PhD,8.0,"Management, Commerce",2025-09-18
I0873,Apollo Hospitals,Healthcare,Guwahati,Kolkata,Healthcare,"Python, Cloud, C++, App Dev",Hindi,Guwahati,29,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 20, 'Rural': 9}",3 months,5000,Offline,Corporate,UG,7.0,"Arts, Management",2025-10-06
I0874,ONGC,Energy,Ahmedabad,Surat,Energy,Finance,Hindi,Ahmedabad,28,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 19, 'Rural': 9}",6 months,0,Online,Corporate,UG,7.1,"Science, Engineering",2025-11-16
I0875,Apollo Hospitals,Healthcare,Hyderabad,Warangal,Healthcare,"Blockchain, Marketing",English,Hyderabad,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",6 months,10000,Hybrid,Government,PG,7.5,"Engineering, Science",2025-10-28
I0876,BYJU'S,Education,Indore,Bhopal,Education,"C++, ML, Data Science",Hindi,Indore,57,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 39, 'Rural': 18}",4 months,10000,Hybrid,Government,UG,8.1,"Science, Engineering",2025-09-28
I0877,Fortis Healthcare,Healthcare,Indore,Bhopal,Healthcare,Cloud,English,Indore,43,"{'GEN': 21, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 13}",3 months,10000,Offline,Corporate,PG,8.1,"Engineering, Science",2025-12-03
I0878,Google India,IT,Guwahati,Kolkata,Governance,SQL,Regional,Guwahati,40,"{'GEN': 20, 'OBC': 10, 'SC': 6, 'ST': 3, 'EWS': 1}","{'Urban': 28, 'Rural': 12}",4 months,15000,Hybrid,Government,PG,6.6,"Arts, Management",2025-10-18
I0879,ICICI Bank,Finance,Indore,Bhopal,Mobility,"Blockchain, Cloud, Data Science",Hindi,Indore,23,"{'GEN': 11, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 7}",3 months,8000,Hybrid,NGO,PhD,7.8,"Commerce, Management",2025-12-03
I0880,AIIMS,Healthcare,Surat,Vadodara,Healthcare,"Marketing, Java",Hindi,Surat,25,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 3}","{'Urban': 17, 'Rural': 8}",6 months,8000,Offline,Government,PG,8.2,"Arts, Management",2025-10-02
I0881,PhonePe,Finance,Ahmedabad,Surat,Waste Management,"Cloud, IoT",Hindi,Ahmedabad,57,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 39, 'Rural': 18}",6 months,5000,Hybrid,Government,UG,7.7,"Science, Engineering",2025-10-05
I0882,Fortis Healthcare,Healthcare,Guwahati,Kolkata,Healthcare,"IoT, Java, Cybersecurity, Data Science",Regional,Guwahati,32,"{'GEN': 16, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 22, 'Rural': 10}",3 months,10000,Offline,NGO,PhD,6.2,"Arts, Management",2025-12-06
I0883,Infosys,IT,Ahmedabad,Surat,Governance,"Marketing, IoT, Cybersecurity, Web Dev",English,Ahmedabad,55,"{'GEN': 27, 'OBC': 14, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 38, 'Rural': 17}",3 months,10000,Online,Government,UG,8.4,"Arts, Management",2025-10-02
I0884,HDFC Bank,Finance,Delhi,Gurugram,Mobility,"Finance, Cybersecurity, IoT",Hindi,Delhi,23,"{'GEN': 11, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 7}",3 months,10000,Online,Corporate,PhD,7.5,"Management, Commerce",2025-12-06
I0885,Paytm,Finance,Kolkata,Durgapur,Waste Management,Data Science,Hindi,Kolkata,51,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 35, 'Rural': 16}",2 months,5000,Offline,NGO,PG,7.9,"Arts, Management",2025-10-13
I0886,OYO,E-Governance,Chennai,Coimbatore,E-Governance,"Data Science, App Dev, Java, Public Policy",Hindi,Chennai,22,"{'GEN': 11, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 15, 'Rural': 7}",3 months,15000,Online,Corporate,PhD,7.7,"Science, Engineering",2025-10-27
I0887,Tata Consultancy Services,IT,Indore,Bhopal,Water Supply,"App Dev, Public Policy, ML, AI",English,Indore,23,"{'GEN': 11, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 7}",2 months,15000,Online,Government,PG,7.5,"Arts, Management",2025-11-28
I0888,Tata Consultancy Services,IT,Surat,Vadodara,Mobility,"Java, AI, App Dev",Hindi,Surat,36,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 25, 'Rural': 11}",6 months,5000,Hybrid,Government,UG,6.8,"Science, Engineering",2025-11-25
I0889,Flipkart,E-Governance,Bhopal,Indore,E-Governance,"Finance, Python, IoT, ML",English,Bhopal,44,"{'GEN': 22, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 14}",3 months,0,Online,Government,PG,6.1,"Management, Commerce",2025-11-05
I0890,Paytm,Finance,Chandigarh,Delhi,Healthcare,"Python, AI",Hindi,Chandigarh,48,"{'GEN': 24, 'OBC': 12, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 33, 'Rural': 15}",3 months,0,Hybrid,Government,PG,7.0,"Management, Commerce",2025-10-02
I0891,IBM India,IT,Jaipur,Delhi,Water Supply,Data Science,English,Jaipur,55,"{'GEN': 27, 'OBC': 14, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 38, 'Rural': 17}",2 months,0,Hybrid,NGO,UG,8.1,"Commerce, Management",2025-11-10
I0892,Tata Motors,Manufacturing,Nagpur,Hyderabad,Mobility,"Finance, AI, C++, SQL",Regional,Nagpur,21,"{'GEN': 10, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 14, 'Rural': 7}",3 months,10000,Hybrid,Research,PhD,6.6,"Engineering, Science",2025-10-14
I0893,Paytm,Finance,Surat,Vadodara,Energy,"C++, ML",Hindi,Surat,23,"{'GEN': 11, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 7}",6 months,8000,Hybrid,Research,PhD,7.2,"Engineering, Science",2025-10-01
I0894,State Bank of India,Finance,Nagpur,Bangalore,Governance,"IoT, Data Science, Java",Regional,Nagpur,31,"{'GEN': 15, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 21, 'Rural': 10}",6 months,10000,Online,Corporate,PhD,6.1,"Arts, Management",2025-11-15
I0895,HAL,Manufacturing,Kolkata,Durgapur,Governance,"Public Policy, Marketing",Regional,Kolkata,36,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 25, 'Rural': 11}",4 months,10000,Online,Corporate,PhD,7.7,"Commerce, Management",2025-10-16
I0896,Apollo Hospitals,Healthcare,Patna,Gaya,Healthcare,"AI, IoT, ML",Regional,Patna,23,"{'GEN': 11, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 7}",4 months,8000,Online,NGO,UG,6.4,"Commerce, Management",2025-10-01
I0897,Swiggy,Smart Mobility,Patna,Gaya,Mobility,"Data Science, Java, Marketing, App Dev",Regional,Patna,43,"{'GEN': 21, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 30, 'Rural': 13}",6 months,5000,Hybrid,NGO,PG,7.3,"Arts, Management",2025-09-25
I0898,State Bank of India,Finance,Bangalore,Mysuru,Water Supply,"Blockchain, ML, Data Science, IoT",Regional,Bangalore,60,"{'GEN': 30, 'OBC': 16, 'SC': 9, 'ST': 4, 'EWS': 1}","{'Urban': 42, 'Rural': 18}",6 months,15000,Offline,NGO,PG,7.3,"Management, Commerce",2025-10-03
I0899,AIIMS,Healthcare,Hyderabad,Warangal,Healthcare,"Cybersecurity, Public Policy",English,Hyderabad,24,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 8}",6 months,0,Hybrid,Research,PhD,6.2,"Science, Engineering",2025-09-17
I0900,Mahindra & Mahindra,Manufacturing,Ahmedabad,Surat,Energy,"Public Policy, Web Dev",English,Ahmedabad,36,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 25, 'Rural': 11}",2 months,0,Hybrid,NGO,PG,6.6,"Management, Commerce",2025-09-19
I0901,Wipro,IT,Pune,Mumbai,Healthcare,"C++, IoT, Marketing, AI",English,Pune,36,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 25, 'Rural': 11}",3 months,5000,Hybrid,Government,UG,7.9,"Arts, Management",2025-10-06
I0902,OYO,E-Governance,Chennai,Coimbatore,E-Governance,"Java, SQL",Hindi,Chennai,28,"{'GEN': 14, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 19, 'Rural': 9}",3 months,10000,Offline,Government,UG,6.0,"Management, Commerce",2025-10-10
I0903,ONGC,Energy,Lucknow,Kanpur,Energy,"Cloud, ML, Finance",English,Lucknow,22,"{'GEN': 11, 'OBC': 5, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 15, 'Rural': 7}",4 months,8000,Hybrid,Government,PG,7.8,"Science, Engineering",2025-10-07
I0904,Adobe India,IT,Surat,Vadodara,Waste Management,"Cloud, App Dev",Regional,Surat,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",2 months,5000,Offline,Corporate,PG,7.7,"Science, Engineering",2025-09-29
I0905,Wipro,IT,Chandigarh,Delhi,Mobility,"Data Science, Python, Public Policy",English,Chandigarh,42,"{'GEN': 21, 'OBC': 11, 'SC': 6, 'ST': 3, 'EWS': 1}","{'Urban': 29, 'Rural': 13}",3 months,8000,Offline,Corporate,PhD,6.6,"Management, Commerce",2025-11-09
I0906,Amazon India,IT,Guwahati,Kolkata,Energy,"SQL, Cloud, Java",English,Guwahati,31,"{'GEN': 15, 'OBC': 8, 'SC': 4, 'ST': 2, 'EWS': 2}","{'Urban': 21, 'Rural': 10}",4 months,8000,Offline,Research,UG,6.2,"Arts, Management",2025-10-02
I0907,Wipro,IT,Bangalore,Mysuru,Energy,Blockchain,English,Bangalore,60,"{'GEN': 30, 'OBC': 16, 'SC': 9, 'ST': 4, 'EWS': 1}","{'Urban': 42, 'Rural': 18}",6 months,15000,Online,NGO,PhD,7.0,"Science, Engineering",2025-11-11
I0908,State Bank of India,Finance,Chennai,Coimbatore,Water Supply,"Marketing, Java, ML",Hindi,Chennai,57,"{'GEN': 28, 'OBC': 15, 'SC': 8, 'ST': 4, 'EWS': 2}","{'Urban': 39, 'Rural': 18}",3 months,10000,Hybrid,NGO,PG,7.2,"Engineering, Science",2025-10-04
I0909,DRDO,Research,Chandigarh,Delhi,Mobility,"IoT, Java, Cybersecurity",English,Chandigarh,47,"{'GEN': 23, 'OBC': 12, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 32, 'Rural': 15}",6 months,5000,Online,NGO,PG,6.8,"Arts, Management",2025-09-27
I0910,HCLTech,IT,Guwahati,Kolkata,Healthcare,"IoT, ML, Data Science",Hindi,Guwahati,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",4 months,8000,Hybrid,Research,PG,6.2,"Engineering, Science",2025-12-06
I0911,Apollo Hospitals,Healthcare,Gurugram,Mumbai,Healthcare,"SQL, Blockchain, Cloud, C++",English,Gurugram,38,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 26, 'Rural': 12}",3 months,0,Online,Research,PG,8.1,"Science, Engineering",2025-11-24
I0912,HDFC Bank,Finance,Surat,Vadodara,Energy,"Public Policy, Python",Hindi,Surat,39,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 27, 'Rural': 12}",6 months,0,Online,Government,PG,7.8,"Commerce, Management",2025-11-18
I0913,Tata Motors,Manufacturing,Kolkata,Durgapur,Mobility,"Finance, Marketing, AI",English,Kolkata,53,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 37, 'Rural': 16}",4 months,8000,Offline,Government,PhD,7.5,"Commerce, Management",2025-11-26
I0914,State Bank of India,Finance,Chandigarh,Delhi,Energy,"Blockchain, Marketing",English,Chandigarh,50,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 35, 'Rural': 15}",4 months,15000,Hybrid,Research,UG,7.4,"Engineering, Science",2025-10-04
I0915,ICICI Bank,Finance,Guwahati,Kolkata,Governance,"C++, Java, ML",Hindi,Guwahati,25,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 3}","{'Urban': 17, 'Rural': 8}",2 months,10000,Hybrid,Government,UG,7.1,"Engineering, Science",2025-11-10
I0916,BHEL,Manufacturing,Surat,Vadodara,Water Supply,"Java, Blockchain, Cybersecurity, Python",English,Surat,37,"{'GEN': 18, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 25, 'Rural': 12}",3 months,5000,Offline,NGO,UG,6.8,"Commerce, Management",2025-10-20
I0917,Mahindra & Mahindra,Manufacturing,Jaipur,Delhi,Healthcare,"C++, Web Dev, Cybersecurity, Public Policy",English,Jaipur,27,"{'GEN': 13, 'OBC': 7, 'SC': 4, 'ST': 2, 'EWS': 1}","{'Urban': 18, 'Rural': 9}",4 months,8000,Hybrid,NGO,PG,6.4,"Management, Commerce",2025-11-20
I0918,Tech Mahindra,IT,Surat,Vadodara,Energy,"SQL, IoT, AI, Finance",Hindi,Surat,46,"{'GEN': 23, 'OBC': 12, 'SC': 6, 'ST': 3, 'EWS': 2}","{'Urban': 32, 'Rural': 14}",6 months,5000,Online,Research,PG,6.9,"Management, Commerce",2025-11-24
I0919,HCLTech,IT,Guwahati,Kolkata,Waste Management,Cybersecurity,Regional,Guwahati,24,"{'GEN': 12, 'OBC': 6, 'SC': 3, 'ST': 1, 'EWS': 2}","{'Urban': 16, 'Rural': 8}",4 months,5000,Offline,Research,PG,7.0,"Commerce, Management",2025-09-22
I0920,Infosys,IT,Pune,Mumbai,Healthcare,"Python, SQL, Java, Public Policy",English,Pune,49,"{'GEN': 24, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 34, 'Rural': 15}",6 months,8000,Online,Corporate,UG,8.1,"Commerce, Management",2025-09-23
I0921,ONGC,Energy,Surat,Vadodara,Energy,"Public Policy, Finance, Cybersecurity, SQL",Regional,Surat,39,"{'GEN': 19, 'OBC': 10, 'SC': 5, 'ST': 2, 'EWS': 3}","{'Urban': 27, 'Rural': 12}",3 months,0,Online,NGO,UG,7.4,"Arts, Management",2025-10-17
I0922,Flipkart,E-Governance,Pune,Mumbai,E-Governance,Marketing,Hindi,Pune,51,"{'GEN': 25, 'OBC': 13, 'SC': 7, 'ST': 3, 'EWS': 3}","{'Urban': 35, 'Rural': 16}",3 months,0,Offline,Government,PhD,8.2,"Management, Commerce",2025-09-23
I0923,BHEL,Manufacturing,Kolkata,Durgapur,Governance,"Blockchain, IoT, AI",Regional,Kolkata,35,"{'GEN': 17, 'OBC': 9, 'SC': 5, 'ST': 2, 'EWS': 2}","{'Urban': 24, 'Rural': 11}",3 months,15000,Offline,Corporate,PhD,7.6,"Engineering, Science",2025-11-18
I0924,HCLTech,IT,Kolkata,Durgapur,Water Supply,"AI, Web Dev, Cloud",Hindi,Kolkata,48,"{'GEN': 24, 'OBC': 12, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 33, 'Rural': 15}",3 months,5000,Offline,Research,PG,7.0,"Arts, Management",2025-11-06
I0925,Flipkart,E-Governance,Mumbai,Pune,E-Governance,"ML, Data Science, Public Policy",English,Mumbai,52,"{'GEN': 26, 'OBC': 14, 'SC': 7, 'ST': 3, 'EWS': 2}","{'Urban': 36, 'Rural': 16}",6 months,15000,Hybrid,Government,PhD,6.2,"Management, Commerce",2025-09-30
